Unit/SourceInstitutionID,SourceInstitutionID
Unit/Identifications/Identification[6]/Result/TaxonIdentified/ScientificName/NameAtomised/Botanical/HybridFlag,HybridFlag [6]
Unit/Identifications/Identification[6]/Result/TaxonIdentified/ScientificName/NameAtomised/Botanical/HybridFlag/@insertionpoint,HybridFlagInsertionPoint [6]
Unit/Identifications/Identification[6]/Result/TaxonIdentified/ScientificName/IdentificationQualifier,DeterminationQualifier [6]
Unit/Identifications/Identification[6]/Result/TaxonIdentified/ScientificName/IdentificationQualifier/@insertionpoint,DeterminationQualifierInsertionPoint [6]
Unit/Identifications/Identification[6]/Result/TaxonIdentified/ScientificName/NameAddendum,ScientificNameAddendum [6]
Unit/Identifications/Identification[6]/Result/TaxonIdentified/ScientificName/NameAtomised/Botanical/CultivarName,CultivarName [6]
Unit/Identifications/Identification[6]/Result/TaxonIdentified/NameComments,NomenclaturalNote [6]
Unit/Identifications/Identification[6]/Identifiers/IdentifierRole,DeterminerRole [6]
Unit/Identifications/Identification[6]/Identifiers/IdentifiersText,Determiner [6]
Unit/Identifications/Identification[6]/Date/DateText,DeterminationDateString [6]
Unit/Identifications/Identification[6]/Date/ISODateTimeBegin,DeterminationDate [6]
Unit/Identifications/Identification[6]/Notes,DeterminationNotes [6]
Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypeStatus,TypeStatus
Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/DoubtfulFlag,TypeStatusDoubtfulFlag
Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/TypifiedName/FullScientificNameString,TypifiedName,
Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/VerificationDate,TypeStatusDesignationVerificationDate,
Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/VerificationNotes,TypeStatusDesignationVerificationNotes,
Unit/SpecimenUnit/NomenclaturalTypeDesignations/NomenclaturalTypeDesignation/Verifier/FullName,TypeStatusDesignationVerifier,
Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/PreviousSourceInstitutionID,PreviousSourceInstitutionID,
Unit/SpecimenUnit/History/PreviousUnits/PreviousUnit/PreviousUnitID,PreviousUnitID,
Unit/SpecimenUnit/DuplicatesDistributedTo,DuplicatesDistributedTo,
Unit/HerbariumUnit/DuplicatesDistributedTo,DuplicatesDistributedTo,
Unit/HerbariumUnit/LoanDate,LoanDate,
Unit/HerbariumUnit/LoanDestination,LoanDestination,
Unit/HerbariumUnit/LoanForBotanist,LoanForBotanist,
Unit/HerbariumUnit/LoanIdentifier,LoanIdentifier,
Unit/HerbariumUnit/LoanReturnDate,LoanReturnDate,
"Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised[Parameter=""CultivatedOccurrence""]/LowerValue",CultivatedOccurrence,Unit/HerbariumUnit/CultivatedOccurrence will also work
"Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised[Parameter=""NaturalOccurrence""]/LowerValue",NaturalOccurrence,Unit/HerbariumUnit/NaturalOccurrence will also work
"Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised[Parameter=""Phenology""]/LowerValue",Phenology,Unit/UnitExtension/HispidUnit/Phenology will also work
